gene,max_abs_coef
ATP5A1,0.551537447421388
CTSB,0.5490088887820085
SERPINB1,0.5468564496863089
SCGB1A1,0.5427270398995975
SHISA5,0.5397367735816605
RPS27A,0.5336197736928159
PLXND1,0.5298477102161147
PTPRN2,0.5267138582537472
TIMP2,0.5251525636974433
MCM7,0.5248231254431617
HNRNPK,0.5238808673034672
CA12,0.5223365009594667
HK2,0.522260555363563
FEZ1,0.5220196853425146
AES,0.5167974097504802
PGK1,0.5151517329048748
RNF213,0.5137630777930163
RBM3,0.5136723087821808
NCOR2,0.5119643698737376
DNAJC10,0.511934527056859
PTGS1,0.5110873863559784
CNN2,0.510190221014082
PXDN,0.5096854973895842
PMP2,0.508651866672555
QKI,0.5046958410388911
TXNRD1,0.5023364260802814
LGALS4,0.5013760535094016
CRIP2,0.5009338144680545
ARF3,0.5009270509150124
PTTG1IP,0.4977555001423652
USP22,0.49283371262630854
KLK2,0.4928136333471564
MKI67,0.4924512595063721
DLK1,0.49241565347808747
EVL,0.49224957645127737
MYO6,0.491975899275071
PCBP1,0.49191131115160636
RPL23A,0.4914890249704262
CALD1,0.48734369973383923
ATP5G3,0.4871509045065031
LTBP3,0.4835068591934535
OAZ1,0.4825958450660484
SULF1,0.47783665169999817
TMEM59,0.47515609460347585
CTSD,0.47418181480707655
LRRC59,0.4703569353243498
POLR2A,0.4678152325777562
BZW1,0.46734146523813813
EIF1,0.4647266820214795
SOX4,0.4629489012393618
APP,0.4620242352866098
APOB,0.4606134487767498
BAT2,0.4595841864250564
TRPS1,0.4594019968913113
SFRP2,0.4585496928959225
EIF3L,0.4581021736272929
VEGFA,0.45809121095912614
NCOA4,0.457852586032156
LGALS7B,0.4574535341639753
GABRP,0.4563727924144159
SOX9,0.4527934719219336
SLC16A3,0.45168116527887764
IVNS1ABP,0.449613574995149
SERPINB3,0.4494245938525453
ENC1,0.4483860534967295
LGALS7,0.44696452469265247
EEF1B2,0.4465751929247598
VIM,0.44623614970231773
TGM2,0.4460318234003719
EIF4A1,0.4457003384981485
RPL41,0.4456256618787663
FAM129A,0.4452145658924425
IFITM1,0.4449336957549308
IDH1,0.44306464376314125
LOC647979,0.4428420365147995
HLA-C,0.44237546920139237
BHLHE40,0.4409192702106487
MUC1,0.4408255032850385
KPNA2,0.43977700870590275
SMOC2,0.4395002164734724
PPY,0.4393000603887887
NFIX,0.4372339861566879
SSFA2,0.4357240688983159
KTN1,0.4318547256512401
HMGA1,0.4315879466401465
YWHAB,0.43056867228843565
TMED2,0.4295787507840279
KLF6,0.42684767995897904
SLC17A3,0.42497625117441284
QSOX1,0.42473101005779507
